135,Rajiv Gandhi Institute of Medical Sciences Blood Bank,Andhra Pradesh,Y.S.R. (Kadapa),Kadapa,"09502577742, 09703158194",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
136,"Indian Red Cross Society, Blood Bank",Andhra Pradesh,Y.S.R. (Kadapa),KADAPA,9704798189,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
137,Boga Parvathamma Blood Bank ,Andhra Pradesh,Y.S.R. (Kadapa),Kadapa,9440269795,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
138,Rajiv Gandhi Institute of Medical Sciences Blood Bank ,Andhra Pradesh,Y.S.R. (Kadapa),Kadapa,9703158194,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
139,Fathima Institute of Medical Sciences Blood Bank,Andhra Pradesh,Y.S.R. (Kadapa),Kadapa,9440941709,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
140,District Hospital Blood Bank ,Andhra Pradesh,Y.S.R. (Kadapa),PRODDATUR,8106104334,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
141,A.P Vaidyavidhanaparishad Area Hospital Blood Bank,Andhra Pradesh,Y.S.R. (Kadapa),Proddatur,9985198393,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
142,A.P. Vaidyavidhanaparishad Area Hospital - IRCS Blood Bank ,Andhra Pradesh,Y.S.R. (Kadapa),Pulivendula,9440978262,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
143,Changlang District Hospital Blood Bank,Arunachal Pradesh,CHANGLANG,Changlang,9436068812,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
144,Pasighat General Hospital Blood Bank,Arunachal Pradesh,EAST SIANG,Pasighat,9436225890,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
145,Lohit District Hospital Blood Bank,Arunachal Pradesh,LOHIT,Tezu,9436633161,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
146,General Hospital Ziro  Blood Bank,Arunachal Pradesh,LOWER SUBANSIRI,Ziro,"08415000448, 09402290012",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
147,Ramakrishna Mission Hospital Blood bank,Arunachal Pradesh,PAPUM PARE,Itanagar,"94,36,05,07,46,09,77,40,00,000",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
148,Arunachal State Hospital Blood Bank,Arunachal Pradesh,PAPUM PARE,Naharlagun,"08731981187, 09436896857",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
